timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger
2436239821501700,935.904,298.271,3.23765,139.453,-2.0766,-692.257,2.32873,4.58886,0.0405026,0.0800052,0.0800052,72.4954,72.4954,1,924.597,273.879,3.30037,205.277,-4.23706,-693.746,-3.25394,4.39332,-0.0565947,0.0766028,0.0766028,72.4954,72.4954,1,930.061,281.012,1,0
2436239826553500,935.973,325.752,3.26805,139.462,-2.08301,-692.222,2.32873,4.99128,0.0404787,0.0870041,0.0870041,72.4924,72.4924,1,924.74,274.011,3.37869,205.304,-4.22867,-693.717,-3.25394,4.39332,-0.0565947,0.0766028,0.0766028,72.4924,72.4924,1,930.226,296.449,1,0
2436239831393100,935.973,325.752,3.26805,139.462,-2.08301,-692.222,2.32873,4.99128,0.0404787,0.0870041,0.0870041,72.4924,72.4924,1,924.74,274.011,3.37869,205.304,-4.22867,-693.717,-3.25394,4.39332,-0.0565947,0.0766028,0.0766028,72.4924,72.4924,1,930.226,296.449,1,0
2436239836325100,939.493,325.816,3.21857,139.475,-2.0426,-692.127,2.38066,4.99128,0.041381,0.0870041,0.0870041,72.4914,72.4914,1,912.175,274.001,3.29634,205.325,-4.23288,-693.801,-3.43855,4.39332,-0.0598018,0.0766028,0.0766028,72.4914,72.4914,1,925.683,296.459,1,0
2436239841134100,939.565,325.869,3.22703,139.464,-2.08163,-692.213,2.38066,4.99128,0.041381,0.0870041,0.0870041,72.4916,72.4916,1,912.289,274.008,3.17894,205.33,-4.20584,-693.715,-3.43855,4.39332,-0.0598018,0.0766028,0.0766028,72.4916,72.4916,1,925.777,296.493,1,0
2436239846136100,939.57,354.326,3.2109,139.471,-2.05121,-692.159,2.38066,5.40665,0.0413537,0.0942238,0.0942238,72.4783,72.4783,1,912.299,277.682,3.41971,205.327,-4.13492,-693.514,-3.43855,4.44653,-0.0597975,0.0775288,0.0775288,72.4783,72.4783,1,925.862,314.388,1,0
2436239850957800,939.57,354.326,3.2109,139.471,-2.05121,-692.159,2.38066,5.40665,0.0413537,0.0942238,0.0942238,72.4783,72.4783,1,912.299,277.682,3.41971,205.327,-4.13492,-693.514,-3.43855,4.44653,-0.0597975,0.0775288,0.0775288,72.4783,72.4783,1,925.862,314.388,1,0
2436239855699500,939.581,354.291,3.18884,139.464,-2.12955,-692.352,2.38066,5.40665,0.0413537,0.0942238,0.0942238,72.5074,72.5074,1,912.319,277.809,3.21409,205.356,-4.27103,-693.882,-3.43855,4.44653,-0.0597975,0.0775288,0.0775288,72.5074,72.5074,1,925.878,314.439,1,0
2436239860594300,939.576,354.272,3.25733,139.475,-2.08282,-692.227,2.38066,5.40665,0.0413537,0.0942238,0.0942238,72.4891,72.4891,1,912.417,277.874,3.36743,205.343,-4.1814,-693.655,-3.43855,4.44653,-0.0597975,0.0775288,0.0775288,72.4891,72.4891,1,925.925,314.465,1,0
2436239865354700,938.983,354.277,3.21615,139.475,-2.09354,-692.28,2.37182,5.40665,0.0412001,0.0942238,0.0942238,72.5026,72.5026,1,912.412,277.85,3.17442,205.367,-4.25967,-693.865,-3.43855,4.44653,-0.0597975,0.0775288,0.0775288,72.5026,72.5026,1,925.625,314.453,1,0
2436239870451400,938.983,354.277,3.21615,139.475,-2.09354,-692.28,2.37182,5.40665,0.0412001,0.0942238,0.0942238,72.5026,72.5026,1,912.412,277.85,3.17442,205.367,-4.25967,-693.865,-3.43855,4.44653,-0.0597975,0.0775288,0.0775288,72.5026,72.5026,1,925.625,314.453,1,0
2436239875246900,939.041,357.453,3.17107,139.488,-2.03296,-692.067,2.37182,5.44975,0.0411972,0.0949727,0.0949727,72.4897,72.4897,1,912.464,277.833,3.33316,205.354,-4.2543,-693.822,-3.43855,4.44653,-0.0597975,0.0775288,0.0775288,72.4897,72.4897,1,925.688,316.208,1,0
2436239880116900,938.248,357.346,3.19566,139.484,-2.08282,-692.267,2.35906,5.44975,0.0409756,0.0949727,0.0949727,72.5068,72.5068,1,912.52,277.903,3.20186,205.365,-4.30804,-693.958,-3.43855,4.44653,-0.0597975,0.0775288,0.0775288,72.5068,72.5068,1,925.318,316.186,1,0
