timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger
2436413191473100,973.187,556.009,3.367,142.384,84.139,-587.872,3.11027,1.52042,0.0542387,0.0265333,0.0265333,60.3495,60.3495,1,920.995,486.277,3.63967,207.223,87.7481,-587.596,-4.085,-0.0289819,-0.0712364,-0.000505829,-0.000505829,60.3495,60.3495,1,947.091,521.143,1,0
2436413196531100,973.187,556.009,3.367,142.384,84.139,-587.872,3.11027,1.52042,0.0542387,0.0265333,0.0265333,60.3495,60.3495,1,920.995,486.277,3.63967,207.223,87.7481,-587.596,-4.085,-0.0289819,-0.0712364,-0.000505829,-0.000505829,60.3495,60.3495,1,947.091,521.143,1,0
2436413201205600,971.824,556.006,3.36709,142.447,84.1388,-587.815,3.08205,1.52042,0.0537471,0.0265333,0.0265333,60.3472,60.3472,1,921.303,486.447,3.6437,207.285,87.7396,-587.6,-4.085,-0.0289819,-0.0712364,-0.000505829,-0.000505829,60.3472,60.3472,1,946.563,521.226,1,0
2436413205986200,971.908,552.741,3.38529,142.471,84.109,-587.873,3.08205,1.46378,0.0537484,0.025545,0.025545,60.3502,60.3502,1,921.415,486.663,3.60805,207.308,87.7364,-587.598,-4.085,-0.0289819,-0.0712364,-0.000505829,-0.000505829,60.3502,60.3502,1,946.661,519.702,1,0
2436413210924100,971.908,552.741,3.38529,142.471,84.109,-587.873,3.08205,1.46378,0.0537484,0.025545,0.025545,60.3502,60.3502,1,921.415,486.663,3.60805,207.308,87.7364,-587.598,-4.085,-0.0289819,-0.0712364,-0.000505829,-0.000505829,60.3502,60.3502,1,946.661,519.702,1,0
2436413215724900,972.039,552.61,3.34277,142.515,84.1247,-587.767,3.08205,1.46378,0.0537484,0.025545,0.025545,60.3384,60.3384,1,921.546,486.492,3.54792,207.336,87.7688,-587.466,-4.085,-0.0289819,-0.0712364,-0.000505829,-0.000505829,60.3384,60.3384,1,946.792,519.551,1,0
2436413220523900,972.316,536.054,3.37815,142.567,84.1346,-587.623,3.08205,1.18474,0.0537545,0.0206762,0.0206762,60.3337,60.3337,1,921.931,486.405,3.57648,207.384,87.7625,-587.512,-4.085,-0.0289819,-0.0712364,-0.000505829,-0.000505829,60.3337,60.3337,1,947.124,511.229,1,0
2436413225445500,972.316,536.054,3.37815,142.567,84.1346,-587.623,3.08205,1.18474,0.0537545,0.0206762,0.0206762,60.3337,60.3337,1,921.931,486.405,3.57648,207.384,87.7625,-587.512,-4.085,-0.0289819,-0.0712364,-0.000505829,-0.000505829,60.3337,60.3337,1,947.124,511.229,1,0
2436413230231900,975.116,535.977,3.40954,142.603,84.1101,-587.647,3.12866,1.18474,0.0545667,0.0206762,0.0206762,60.3338,60.3338,1,922.018,486.458,3.63245,207.402,87.7752,-587.485,-4.085,-0.0289819,-0.0712364,-0.000505829,-0.000505829,60.3338,60.3338,1,948.567,511.217,1,0
2436413235122200,981.363,535.792,3.41097,142.599,83.9997,-587.888,3.23185,1.18474,0.0563645,0.0206762,0.0206762,60.3506,60.3506,1,922.154,486.331,3.62259,207.451,87.7406,-587.562,-4.085,-0.0289819,-0.0712364,-0.000505829,-0.000505829,60.3506,60.3506,1,951.758,511.061,1,0
2436413240048200,981.463,535.814,3.363,142.638,84.0833,-587.65,3.23185,1.18474,0.0563645,0.0206762,0.0206762,60.3341,60.3341,1,922.23,488.158,3.63026,207.449,87.74,-587.473,-4.085,0.00065068,-0.0712364,1.13565e-05,1.13565e-05,60.3341,60.3341,1,951.847,511.986,1,0
2436413244786100,981.463,535.814,3.363,142.638,84.0833,-587.65,3.23185,1.18474,0.0563645,0.0206762,0.0206762,60.3341,60.3341,1,922.23,488.158,3.63026,207.449,87.74,-587.473,-4.085,0.00065068,-0.0712364,1.13565e-05,1.13565e-05,60.3341,60.3341,1,951.847,511.986,1,0
2436413249638600,981.56,535.829,3.38653,142.634,84.0416,-587.714,3.23185,1.18474,0.0563645,0.0206762,0.0206762,60.3385,60.3385,1,922.301,488.188,3.63906,207.459,87.7391,-587.49,-4.085,0.00065068,-0.0712364,1.13565e-05,1.13565e-05,60.3385,60.3385,1,951.931,512.009,1,0
2436413254549500,981.638,535.914,3.35036,142.669,84.0671,-587.491,3.23185,1.18474,0.0563645,0.0206762,0.0206762,60.3336,60.3336,1,922.382,488.208,3.64801,207.476,87.6856,-587.602,-4.085,0.00065068,-0.0712364,1.13565e-05,1.13565e-05,60.3336,60.3336,1,952.01,512.061,1,0
2436413259430200,981.672,535.826,3.34614,142.65,83.9061,-587.944,3.23185,1.18474,0.0563645,0.0206762,0.0206762,60.3533,60.3533,1,924.715,488.275,3.63682,207.484,87.6926,-587.527,-4.0454,0.00065068,-0.0705469,1.13565e-05,1.13565e-05,60.3533,60.3533,1,953.194,512.05,1,0
2436413264299300,981.672,535.826,3.34614,142.65,83.9061,-587.944,3.23185,1.18474,0.0563645,0.0206762,0.0206762,60.3533,60.3533,1,924.715,488.275,3.63682,207.484,87.6926,-587.527,-4.0454,0.00065068,-0.0705469,1.13565e-05,1.13565e-05,60.3533,60.3533,1,953.194,512.05,1,0
2436413269159600,981.715,535.7,3.34904,142.67,83.9275,-587.781,3.23185,1.18474,0.0563645,0.0206762,0.0206762,60.3479,60.3479,1,924.763,475.646,3.58876,207.492,87.6627,-587.573,-4.0454,-0.218281,-0.0705464,-0.00380972,-0.00380972,60.3479,60.3479,1,953.239,505.673,1,0
2436413274028100,977.815,535.374,3.33983,142.662,83.9129,-587.725,3.16413,1.18474,0.0551846,0.0206762,0.0206762,60.346,60.346,1,924.789,474.069,3.58514,207.494,87.6235,-587.575,-4.0454,-0.240372,-0.0705463,-0.00419527,-0.00419527,60.346,60.346,1,951.302,504.721,1,0
2436413278896800,977.807,535.259,3.32572,142.653,83.8724,-587.809,3.16413,1.18474,0.0551846,0.0206762,0.0206762,60.3489,60.3489,1,926.305,437.692,3.58481,207.486,87.6149,-587.538,-4.01904,-0.86868,-0.0700799,-0.0151607,-0.0151607,60.3489,60.3489,1,952.056,486.476,1,0
2436413283819100,977.807,535.259,3.32572,142.653,83.8724,-587.809,3.16413,1.18474,0.0551846,0.0206762,0.0206762,60.3489,60.3489,1,926.305,437.692,3.58481,207.486,87.6149,-587.538,-4.01904,-0.86868,-0.0700799,-0.0151607,-0.0151607,60.3489,60.3489,1,952.056,486.476,1,0
2436413288583700,976.175,525.972,3.34123,142.656,83.8873,-587.737,3.13681,1.02605,0.0547115,0.017907,0.017907,60.3453,60.3453,1,926.281,433.894,3.59239,207.483,87.6019,-587.534,-4.01904,-0.933757,-0.0700786,-0.0162964,-0.0162964,60.3453,60.3453,1,951.228,479.933,1,0
