Frame Number,System Time (ns),real time
0,1743053720605240800,2025-03-27 13:35:20.605240800
1,1743053720716872700,2025-03-27 13:35:20.716872700
2,1743053720731163100,2025-03-27 13:35:20.731163100
3,1743053720741835700,2025-03-27 13:35:20.741835700
4,1743053720755300500,2025-03-27 13:35:20.755300500
5,1743053720766362400,2025-03-27 13:35:20.766362400
6,1743053720780671800,2025-03-27 13:35:20.780671800
7,1743053720792575400,2025-03-27 13:35:20.792575400
8,1743053720801859100,2025-03-27 13:35:20.801859100
9,1743053720815321200,2025-03-27 13:35:20.815321200
10,1743053720828400700,2025-03-27 13:35:20.828400700
11,1743053720853042200,2025-03-27 13:35:20.853042200
12,1743053720866102700,2025-03-27 13:35:20.866102700
13,1743053720876899100,2025-03-27 13:35:20.876899100
14,1743053720886869000,2025-03-27 13:35:20.886869000
15,1743053720898882900,2025-03-27 13:35:20.898882900
16,1743053720912964700,2025-03-27 13:35:20.912964700
17,1743053720924840000,2025-03-27 13:35:20.924840000
18,1743053720938957500,2025-03-27 13:35:20.938957500
19,1743053720951475800,2025-03-27 13:35:20.951475800
20,1743053720962022800,2025-03-27 13:35:20.962022800
21,1743053720972845600,2025-03-27 13:35:20.972845600
22,1743053720986940300,2025-03-27 13:35:20.986940300
23,1743053720998939400,2025-03-27 13:35:20.998939400
24,1743053721011449300,2025-03-27 13:35:21.011449300
25,1743053721019924800,2025-03-27 13:35:21.019924800
26,1743053721032016200,2025-03-27 13:35:21.032016200
27,1743053721043544900,2025-03-27 13:35:21.043544900
28,1743053721055014100,2025-03-27 13:35:21.055014100
29,1743053721069652100,2025-03-27 13:35:21.069652100
30,1743053721082375500,2025-03-27 13:35:21.082375500
31,1743053721095352700,2025-03-27 13:35:21.095352700
32,1743053721105220300,2025-03-27 13:35:21.105220300
33,1743053721117772300,2025-03-27 13:35:21.117772300
34,1743053721130788500,2025-03-27 13:35:21.130788500
35,1743053721144257200,2025-03-27 13:35:21.144257200
36,1743053721153792200,2025-03-27 13:35:21.153792200
37,1743053721166354700,2025-03-27 13:35:21.166354700
38,1743053721179994300,2025-03-27 13:35:21.179994300
39,1743053721189842900,2025-03-27 13:35:21.189842900
40,1743053721199455700,2025-03-27 13:35:21.199455700
41,1743053721212098300,2025-03-27 13:35:21.212098300
42,1743053721223155100,2025-03-27 13:35:21.223155100
43,1743053721235416700,2025-03-27 13:35:21.235416700
44,1743053721242957400,2025-03-27 13:35:21.242957400
45,1743053721255137300,2025-03-27 13:35:21.255137300
46,1743053721266891500,2025-03-27 13:35:21.266891500
47,1743053721278406100,2025-03-27 13:35:21.278406100
48,1743053721288610300,2025-03-27 13:35:21.288610300
49,1743053721301585100,2025-03-27 13:35:21.301585100
50,1743053721311281300,2025-03-27 13:35:21.311281300
51,1743053721319818000,2025-03-27 13:35:21.319818000
52,1743053721332789300,2025-03-27 13:35:21.332789300
53,1743053721341441500,2025-03-27 13:35:21.341441500
54,1743053721353817100,2025-03-27 13:35:21.353817100
55,1743053721364858500,2025-03-27 13:35:21.364858500
