timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger,real_system_time
10125690205900,676.876,448.633,0.0,83.9044,99.2703,-549.446,3.8967,-1.96065,0.067918,-0.0342131,-0.0342131,0.0,0.0,0,992.017,479.894,0.0,149.335,97.9281,-551.082,2.95881,-1.23614,0.0516059,-0.021573,-0.021573,56.5065,56.5065,1,834.447,464.263,1,0,2025-03-27 13:35:20.690205900
10125694984900,676.876,448.633,4.64329,83.9044,99.2703,-549.446,3.8967,-1.96065,0.067918,-0.0342131,-0.0342131,56.5065,56.5065,1,992.017,479.894,4.70658,149.335,97.9281,-551.082,2.95881,-1.23614,0.0516059,-0.021573,-0.021573,56.5065,56.5065,1,834.447,464.263,1,1,2025-03-27 13:35:20.694984900
10125699834900,917.79,0.0,4.95188,83.7324,101.455,-547.21,8.39759,-24.1723,0.133236,-0.409481,-0.409481,56.2888,56.2888,1,1113.25,0.0,4.77464,148.991,99.7696,-549.766,5.25441,-27.2233,0.0814341,-0.457459,-0.457459,56.2888,56.2888,1,1018.16,-51.3215,1,0,2025-03-27 13:35:20.699834900
10125704820900,917.79,0.0,4.95188,83.7324,101.455,-547.21,8.39759,-24.1723,0.133236,-0.409481,-0.409481,56.2888,56.2888,1,1113.25,0.0,4.77464,148.991,99.7696,-549.766,5.25441,-27.2233,0.0814341,-0.457459,-0.457459,56.2888,56.2888,1,1018.16,-51.3215,1,0,2025-03-27 13:35:20.704820900
10125709890100,723.586,443.612,4.559,83.625,102.957,-545.776,4.82582,-2.45042,0.08405,-0.0427548,-0.0427548,56.1053,56.1053,1,987.298,433.034,4.56365,148.931,101.338,-548.12,2.92873,-2.47435,0.051046,-0.0431722,-0.0431722,56.1053,56.1053,1,855.442,438.323,1,0,2025-03-27 13:35:20.709890100
10125714765400,687.565,479.025,4.69832,83.5536,103.157,-545.706,4.16015,-1.81014,0.0725082,-0.0315876,-0.0315876,56.0887,56.0887,1,987.343,466.73,4.68752,148.927,101.567,-547.953,2.93085,-1.86916,0.0511034,-0.0326173,-0.0326173,56.0887,56.0887,1,837.454,472.878,1,0,2025-03-27 13:35:20.714765400
10125719364700,682.068,471.351,4.70545,83.5513,103.243,-545.607,4.05818,-1.96065,0.0707279,-0.0342131,-0.0342131,56.0711,56.0711,1,988.799,490.632,4.76021,148.942,101.667,-547.728,2.95881,-1.4331,0.0516018,-0.0250097,-0.0250097,56.0711,56.0711,1,835.433,480.991,1,202,2025-03-27 13:35:20.719364700
10125724301100,682.068,471.351,4.70545,83.5513,103.243,-545.607,4.05818,-1.96065,0.0707279,-0.0342131,-0.0342131,56.0711,56.0711,1,988.799,490.632,4.76021,148.942,101.667,-547.728,2.95881,-1.4331,0.0516018,-0.0250097,-0.0250097,56.0711,56.0711,1,835.433,480.991,1,0,2025-03-27 13:35:20.724301100
10125729035200,688.011,471.744,4.64472,83.5546,103.315,-545.499,4.16995,-1.96065,0.0726726,-0.0342131,-0.0342131,56.0591,56.0591,1,994.641,490.853,4.73718,148.937,101.717,-547.614,3.06815,-1.4331,0.053507,-0.0250097,-0.0250097,56.0591,56.0591,1,841.326,481.298,1,0,2025-03-27 13:35:20.729035200
10125733984200,681.991,472.807,4.6877,83.563,103.436,-545.241,4.05818,-1.96065,0.0707279,-0.0342131,-0.0342131,56.0331,56.0331,1,991.64,491.272,4.72386,148.942,101.812,-547.376,3.01281,-1.4331,0.0525428,-0.0250097,-0.0250097,56.0331,56.0331,1,836.815,482.039,1,0,2025-03-27 13:35:20.733984200
10125738757100,685.413,473.062,4.6913,83.5777,103.488,-545.073,4.12211,-1.96065,0.0718402,-0.0342131,-0.0342131,56.0212,56.0212,1,993.284,491.431,4.71455,148.949,101.825,-547.31,3.04324,-1.4331,0.0530729,-0.0250097,-0.0250097,56.0212,56.0212,1,839.349,482.246,1,0,2025-03-27 13:35:20.738757100
10125743640300,685.413,473.062,4.6913,83.5777,103.488,-545.073,4.12211,-1.96065,0.0718402,-0.0342131,-0.0342131,56.0212,56.0212,1,993.284,491.431,4.71455,148.949,101.825,-547.31,3.04324,-1.4331,0.0530729,-0.0250097,-0.0250097,56.0212,56.0212,1,839.349,482.246,1,0,2025-03-27 13:35:20.743640300
10125748587400,684.373,473.205,4.68552,83.589,103.533,-544.933,4.10247,-1.96065,0.0714986,-0.0342131,-0.0342131,56.0106,56.0106,1,993.278,491.54,4.71031,148.954,101.841,-547.24,3.043,-1.4331,0.0530689,-0.0250097,-0.0250097,56.0106,56.0106,1,838.826,482.372,1,0,2025-03-27 13:35:20.748587400
10125753423600,684.373,473.205,4.68552,83.589,103.533,-544.933,4.10247,-1.96065,0.0714986,-0.0342131,-0.0342131,56.0106,56.0106,1,993.278,491.54,4.71031,148.954,101.841,-547.24,3.043,-1.4331,0.0530689,-0.0250097,-0.0250097,56.0106,56.0106,1,838.826,482.372,1,0,2025-03-27 13:35:20.753423600
10125758113400,685.511,473.46,4.68859,83.623,103.598,-544.696,4.12211,-1.96065,0.0718402,-0.0342131,-0.0342131,55.9884,55.9884,1,993.359,499.06,4.7307,148.982,101.872,-547.029,3.04324,-1.294,0.053076,-0.0225826,-0.0225826,55.9884,55.9884,1,839.435,486.26,1,0,2025-03-27 13:35:20.758113400
10125763170400,684.601,473.648,4.68408,83.6497,103.609,-544.584,4.10247,-1.96065,0.0714986,-0.0342131,-0.0342131,55.9721,55.9721,1,993.561,506.139,4.73074,149.028,101.886,-546.803,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.9721,55.9721,1,839.081,489.894,1,0,2025-03-27 13:35:20.763170400
10125768057600,684.601,473.648,4.68408,83.6497,103.609,-544.584,4.10247,-1.96065,0.0714986,-0.0342131,-0.0342131,55.9721,55.9721,1,993.561,506.139,4.73074,149.028,101.886,-546.803,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.9721,55.9721,1,839.081,489.894,1,0,2025-03-27 13:35:20.768057600
10125772717800,684.676,473.706,4.69244,83.6719,103.605,-544.512,4.10247,-1.96065,0.0714986,-0.0342131,-0.0342131,55.9628,55.9628,1,993.693,506.339,4.73411,149.048,101.891,-546.676,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.9628,55.9628,1,839.184,490.022,1,0,2025-03-27 13:35:20.772717800
10125777750500,684.676,473.706,4.69244,83.6719,103.605,-544.512,4.10247,-1.96065,0.0714986,-0.0342131,-0.0342131,55.9628,55.9628,1,993.693,506.339,4.73411,149.048,101.891,-546.676,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.9628,55.9628,1,839.184,490.022,1,0,2025-03-27 13:35:20.777750500
10125782627200,684.676,473.706,4.69244,83.6719,103.605,-544.512,4.10247,-1.96065,0.0714986,-0.0342131,-0.0342131,55.9628,55.9628,1,993.693,506.339,4.73411,149.048,101.891,-546.676,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.9628,55.9628,1,839.184,490.022,1,0,2025-03-27 13:35:20.782627200
10125787479600,684.676,473.706,4.69244,83.6719,103.605,-544.512,4.10247,-1.96065,0.0714986,-0.0342131,-0.0342131,55.9628,55.9628,1,993.693,506.339,4.73411,149.048,101.891,-546.676,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.9628,55.9628,1,839.184,490.022,1,0,2025-03-27 13:35:20.787479600
10125792303400,684.911,477.097,4.68187,83.7223,103.604,-544.317,4.10247,-1.90116,0.0715011,-0.0331755,-0.0331755,55.9412,55.9412,1,993.934,506.043,4.70725,149.111,101.905,-546.416,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.9412,55.9412,1,839.423,491.57,1,0,2025-03-27 13:35:20.792303400
10125797111000,684.911,477.097,4.68187,83.7223,103.604,-544.317,4.10247,-1.90116,0.0715011,-0.0331755,-0.0331755,55.9412,55.9412,1,993.934,506.043,4.70725,149.111,101.905,-546.416,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.9412,55.9412,1,839.423,491.57,1,0,2025-03-27 13:35:20.797111000
10125802013200,684.911,477.097,4.68187,83.7223,103.604,-544.317,4.10247,-1.90116,0.0715011,-0.0331755,-0.0331755,55.9412,55.9412,1,993.934,506.043,4.70725,149.111,101.905,-546.416,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.9412,55.9412,1,839.423,491.57,1,0,2025-03-27 13:35:20.802013200
10125806887700,685.344,476.898,4.69936,83.8342,103.609,-543.942,4.10247,-1.90116,0.0715011,-0.0331755,-0.0331755,55.9191,55.9191,1,994.398,505.594,4.74991,149.206,101.803,-546.295,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.9191,55.9191,1,839.871,491.246,1,0,2025-03-27 13:35:20.806887700
10125811876500,685.344,476.898,4.69936,83.8342,103.609,-543.942,4.10247,-1.90116,0.0715011,-0.0331755,-0.0331755,55.9191,55.9191,1,994.398,505.594,4.74991,149.206,101.803,-546.295,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.9191,55.9191,1,839.871,491.246,1,0,2025-03-27 13:35:20.811876500
10125816608400,685.822,476.824,4.67612,83.9417,103.594,-543.63,4.10247,-1.90116,0.0715011,-0.0331755,-0.0331755,55.8896,55.8896,1,994.89,505.751,4.71129,149.294,101.795,-545.974,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.8896,55.8896,1,840.356,491.288,1,0,2025-03-27 13:35:20.816608400
10125821385400,685.822,476.824,4.67612,83.9417,103.594,-543.63,4.10247,-1.90116,0.0715011,-0.0331755,-0.0331755,55.8896,55.8896,1,994.89,505.751,4.71129,149.294,101.795,-545.974,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.8896,55.8896,1,840.356,491.288,1,0,2025-03-27 13:35:20.821385400
10125826576100,686.263,476.748,4.70923,84.0203,103.576,-543.478,4.10247,-1.90116,0.0715011,-0.0331755,-0.0331755,55.8682,55.8682,1,995.27,505.636,4.72874,149.387,101.83,-545.675,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.8682,55.8682,1,840.766,491.192,1,0,2025-03-27 13:35:20.826576100
10125831512700,686.263,476.748,4.70923,84.0203,103.576,-543.478,4.10247,-1.90116,0.0715011,-0.0331755,-0.0331755,55.8682,55.8682,1,995.27,505.636,4.72874,149.387,101.83,-545.675,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.8682,55.8682,1,840.766,491.192,1,0,2025-03-27 13:35:20.831512700
10125836225000,686.263,476.748,4.70923,84.0203,103.576,-543.478,4.10247,-1.90116,0.0715011,-0.0331755,-0.0331755,55.8682,55.8682,1,995.27,505.636,4.72874,149.387,101.83,-545.675,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.8682,55.8682,1,840.766,491.192,1,0,2025-03-27 13:35:20.836225000
10125840954000,686.369,476.753,4.72304,84.0995,103.53,-543.512,4.09649,-1.90116,0.071397,-0.0331755,-0.0331755,55.8758,55.8758,1,995.846,505.822,4.73031,149.469,101.761,-545.772,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.8758,55.8758,1,841.108,491.287,1,0,2025-03-27 13:35:20.840954000
10125845945200,686.369,476.753,4.72304,84.0995,103.53,-543.512,4.09649,-1.90116,0.071397,-0.0331755,-0.0331755,55.8758,55.8758,1,995.846,505.822,4.73031,149.469,101.761,-545.772,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.8758,55.8758,1,841.108,491.287,1,0,2025-03-27 13:35:20.845945200
10125850723500,686.369,476.753,4.72304,84.0995,103.53,-543.512,4.09649,-1.90116,0.071397,-0.0331755,-0.0331755,55.8758,55.8758,1,995.846,505.822,4.73031,149.469,101.761,-545.772,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.8758,55.8758,1,841.108,491.287,1,0,2025-03-27 13:35:20.850723500
10125855626300,687.177,476.748,4.74556,84.2556,103.537,-543.212,4.09649,-1.90116,0.071397,-0.0331755,-0.0331755,55.8441,55.8441,1,996.542,505.609,4.73293,149.627,101.815,-545.413,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.8441,55.8441,1,841.86,491.179,1,0,2025-03-27 13:35:20.855626300
10125860432700,687.177,476.748,4.74556,84.2556,103.537,-543.212,4.09649,-1.90116,0.071397,-0.0331755,-0.0331755,55.8441,55.8441,1,996.542,505.609,4.73293,149.627,101.815,-545.413,3.04324,-1.16786,0.0530785,-0.0203816,-0.0203816,55.8441,55.8441,1,841.86,491.179,1,0,2025-03-27 13:35:20.860432700
10125865208200,687.92,476.743,4.74604,84.412,103.571,-543.007,4.09649,-1.90116,0.071397,-0.0331755,-0.0331755,55.8255,55.8255,1,994.399,505.987,4.75196,149.755,101.84,-545.24,2.98767,-1.16786,0.0521102,-0.0203816,-0.0203816,55.8255,55.8255,1,841.16,491.365,1,0,2025-03-27 13:35:20.865208200
10125870169000,687.92,476.743,4.74604,84.412,103.571,-543.007,4.09649,-1.90116,0.071397,-0.0331755,-0.0331755,55.8255,55.8255,1,994.399,505.987,4.75196,149.755,101.84,-545.24,2.98767,-1.16786,0.0521102,-0.0203816,-0.0203816,55.8255,55.8255,1,841.16,491.365,1,0,2025-03-27 13:35:20.870169000
10125875413900,684.398,478.481,4.68112,84.5046,103.577,-542.912,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.813,55.813,1,994.89,506.403,4.72901,149.871,101.893,-545.084,2.98767,-1.16786,0.0521102,-0.0203816,-0.0203816,55.813,55.813,1,839.644,492.442,1,0,2025-03-27 13:35:20.875413900
10125880064700,684.398,478.481,4.68112,84.5046,103.577,-542.912,4.02119,-1.87617,0.0700879,-0.0327395,-0.0327395,55.813,55.813,1,994.89,506.403,4.72901,149.871,101.893,-545.084,2.98767,-1.16786,0.0521102,-0.0203816,-0.0203816,55.813,55.813,1,839.644,492.442,1,0,2025-03-27 13:35:20.880064700
