timestamp,left_eye_gaze_position_x,left_eye_gaze_position_y,left_eye_pupil_diameter_mm,left_eye_pupil_position_x,left_eye_pupil_position_y,left_eye_pupil_position_z,left_eye_visual_angle_theta,left_eye_visual_angle_phi,left_eye_visual_angle_vector_x,left_eye_visual_angle_vector_y,left_eye_visual_angle_vector_z,left_eye_pixels_per_degree_x,left_eye_pixels_per_degree_y,left_eye_valid,right_eye_gaze_position_x,right_eye_gaze_position_y,right_eye_pupil_diameter_mm,right_eye_pupil_position_x,right_eye_pupil_position_y,right_eye_pupil_position_z,right_eye_visual_angle_theta,right_eye_visual_angle_phi,right_eye_visual_angle_vector_x,right_eye_visual_angle_vector_y,right_eye_visual_angle_vector_z,right_eye_pixels_per_degree_x,right_eye_pixels_per_degree_y,right_eye_valid,bino_eye_gaze_position_x,bino_eye_gaze_position_y,bino_eye_valid,trigger
166897098158000,1247.36,550.552,2.64507,132.413,79.8015,-518.744,9.9687,2.0535,0.172999,0.0358326,0.0358326,55.1671,55.1671,1,1518.95,382.7,2.52159,199.969,82.2768,-522.144,7.88373,-1.48637,0.137117,-0.0259392,-0.0259392,55.1671,55.1671,1,1383.15,466.626,1,0
166897103094600,1247.36,550.552,2.64507,132.413,79.8015,-518.744,9.9687,2.0535,0.172999,0.0358326,0.0358326,55.1671,55.1671,1,1518.95,382.7,2.52159,199.969,82.2768,-522.144,7.88373,-1.48637,0.137117,-0.0259392,-0.0259392,55.1671,55.1671,1,1383.15,466.626,1,1
166897108143400,1247.36,550.552,2.64507,132.413,79.8015,-518.744,9.9687,2.0535,0.172999,0.0358326,0.0358326,55.1671,55.1671,1,1518.95,382.7,2.52159,199.969,82.2768,-522.144,7.88373,-1.48637,0.137117,-0.0259392,-0.0259392,55.1671,55.1671,1,1383.15,466.626,1,0
166897113146700,1066.5,540.03,3.4069,134.152,72.6047,-498.678,6.5298,2.75671,0.113588,0.0480952,0.0480952,53.3384,53.3384,1,1100.7,529.478,3.66208,201.453,77.9485,-500.235,-0.430745,1.94963,-0.0075135,0.0340209,0.0340209,53.3384,53.3384,1,1083.6,534.754,1,0
166897118145600,1066.86,539.106,3.4431,134.194,72.4417,-498.766,6.5298,2.75671,0.113588,0.0480952,0.0480952,53.3548,53.3548,1,1101.06,528.207,3.6805,201.497,77.7674,-500.404,-0.430745,1.94963,-0.0075135,0.0340209,0.0340209,53.3548,53.3548,1,1083.96,533.656,1,0
166897123132200,1066.85,539.036,3.44291,134.174,72.396,-498.854,6.5298,2.75671,0.113588,0.0480952,0.0480952,53.3562,53.3562,1,1101.02,529.306,3.72327,201.494,77.792,-500.341,-0.430745,1.9713,-0.00751341,0.0343989,0.0343989,53.3562,53.3562,1,1083.94,534.171,1,0
166897128084100,1066.85,539.036,3.44291,134.174,72.396,-498.854,6.5298,2.75671,0.113588,0.0480952,0.0480952,53.3562,53.3562,1,1101.02,529.306,3.72327,201.494,77.792,-500.341,-0.430745,1.9713,-0.00751341,0.0343989,0.0343989,53.3562,53.3562,1,1083.94,534.171,1,0
166897133120100,1066.84,539.073,3.46064,134.178,72.3997,-498.832,6.5298,2.75671,0.113588,0.0480952,0.0480952,53.3553,53.3553,1,1101.04,545.099,3.73222,201.486,77.781,-500.341,-0.430745,2.29297,-0.00751184,0.0400091,0.0400091,53.3553,53.3553,1,1083.94,542.086,1,0
166897138118400,1184.42,525.861,3.4616,134.182,72.423,-498.725,8.88553,2.48084,0.154316,0.0432853,0.0432853,53.3485,53.3485,1,1120.72,782.546,3.70859,201.478,77.7841,-500.311,-0.0297272,7.08014,-0.000514882,0.123257,0.123257,53.3485,53.3485,1,1152.57,654.204,1,0
166897143120300,1184.39,525.828,3.46274,134.17,72.4082,-498.74,8.88553,2.48084,0.154316,0.0432853,0.0432853,53.3512,53.3512,1,1120.64,810.041,3.7113,201.471,77.7635,-500.343,-0.0297272,7.62908,-0.000514245,0.132759,0.132759,53.3512,53.3512,1,1152.51,667.934,1,0
166897148112600,1184.39,525.828,3.46274,134.17,72.4082,-498.74,8.88553,2.48084,0.154316,0.0432853,0.0432853,53.3512,53.3512,1,1120.64,810.041,3.7113,201.471,77.7635,-500.343,-0.0297272,7.62908,-0.000514245,0.132759,0.132759,53.3512,53.3512,1,1152.51,667.934,1,0
